mod_value: 1.7000000000000004, TT: 22, h: 7.5, FP: 2, FN: 15, FPR: 0.001119194180190263, FNR: 0.008333333333333333
mod_value: 1.7000000000000004, TT: 22, h: 8.0, FP: 0, FN: 29, FPR: 0.0, FNR: 0.01611111111111111


mod_value: 1.8000000000000005, TT: 22, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 1.8000000000000005, TT: 23, h: 1.5, FP: 180, FN: 0, FPR: 0.09090909090909091, FNR: 0.0
mod_value: 1.8000000000000005, TT: 27, h: 2.0, FP: 127, FN: 0, FPR: 0.065905552672548, FNR: 0.0
mod_value: 1.8000000000000005, TT: 26, h: 2.5, FP: 76, FN: 0, FPR: 0.04051172707889126, FNR: 0.0
mod_value: 1.8000000000000005, TT: 26, h: 3.0, FP: 56, FN: 0, FPR: 0.03017241379310345, FNR: 0.0
mod_value: 1.8000000000000005, TT: 27, h: 3.5, FP: 40, FN: 0, FPR: 0.021739130434782608, FNR: 0.0
mod_value: 1.8000000000000005, TT: 27, h: 4.0, FP: 26, FN: 0, FPR: 0.014238773274917854, FNR: 0.0
mod_value: 1.8000000000000005, TT: 27, h: 4.5, FP: 25, FN: 0, FPR: 0.0136986301369863, FNR: 0.0
mod_value: 1.8000000000000005, TT: 27, h: 5.0, FP: 19, FN: 0, FPR: 0.010445299615173173, FNR: 0.0
mod_value: 1.8000000000000005, TT: 27, h: 5.5, FP: 15, FN: 0, FPR: 0.008264462809917356, FNR: 0.0
mod_value: 1.8000000000000005, TT: 27, h: 6.0, FP: 9, FN: 0, FPR: 0.004975124378109453, FNR: 0.0
mod_value: 1.8000000000000005, TT: 31, h: 6.5, FP: 7, FN: 0, FPR: 0.00387382401770891, FNR: 0.0
mod_value: 1.8000000000000005, TT: 31, h: 7.0, FP: 3, FN: 1, FPR: 0.001664816870144284, FNR: 0.0005555555555555556
mod_value: 1.8000000000000005, TT: 30, h: 7.5, FP: 2, FN: 3, FPR: 0.0011117287381878821, FNR: 0.0016666666666666668
