mod_value: 1.5, TT: 0, h: 6.5, FP: 8, FN: 271, FPR: 0.0044444444444444444, FNR: 0.15055555555555555
mod_value: 1.5, TT: 0, h: 7.0, FP: 4, FN: 444, FPR: 0.0022222222222222222, FNR: 0.24666666666666667
mod_value: 1.5, TT: 0, h: 7.5, FP: 3, FN: 615, FPR: 0.0016666666666666668, FNR: 0.3416666666666667
mod_value: 1.5, TT: 0, h: 8.0, FP: 1, FN: 807, FPR: 0.0005555555555555556, FNR: 0.4483333333333333


mod_value: 1.6, TT: 0, h: 1.0, FP: 398, FN: 0, FPR: 0.22111111111111112, FNR: 0.0
mod_value: 1.6, TT: 0, h: 1.5, FP: 144, FN: 0, FPR: 0.08, FNR: 0.0
mod_value: 1.6, TT: 0, h: 2.0, FP: 96, FN: 0, FPR: 0.05333333333333334, FNR: 0.0
mod_value: 1.6, TT: 0, h: 2.5, FP: 59, FN: 0, FPR: 0.03277777777777778, FNR: 0.0
mod_value: 1.6, TT: 0, h: 3.0, FP: 47, FN: 0, FPR: 0.026111111111111113, FNR: 0.0
mod_value: 1.6, TT: 0, h: 3.5, FP: 30, FN: 0, FPR: 0.016666666666666666, FNR: 0.0
mod_value: 1.6, TT: 0, h: 4.0, FP: 21, FN: 0, FPR: 0.011666666666666667, FNR: 0.0
mod_value: 1.6, TT: 0, h: 4.5, FP: 18, FN: 1, FPR: 0.01, FNR: 0.0005555555555555556
mod_value: 1.6, TT: 0, h: 5.0, FP: 16, FN: 3, FPR: 0.008888888888888889, FNR: 0.0016666666666666668
mod_value: 1.6, TT: 0, h: 5.5, FP: 12, FN: 6, FPR: 0.006666666666666667, FNR: 0.0033333333333333335
mod_value: 1.6, TT: 0, h: 6.0, FP: 10, FN: 17, FPR: 0.005555555555555556, FNR: 0.009444444444444445
mod_value: 1.6, TT: 0, h: 6.5, FP: 8, FN: 40, FPR: 0.0044444444444444444, FNR: 0.022222222222222223
mod_value: 1.6, TT: 0, h: 7.0, FP: 4, FN: 80, FPR: 0.0022222222222222222, FNR: 0.044444444444444446
mod_value: 1.6, TT: 0, h: 7.5, FP: 3, FN: 159, FPR: 0.0016666666666666668, FNR: 0.08833333333333333
mod_value: 1.6, TT: 0, h: 8.0, FP: 1, FN: 245, FPR: 0.0005555555555555556, FNR: 0.1361111111111111


mod_value: 1.7, TT: 0, h: 1.0, FP: 398, FN: 0, FPR: 0.22111111111111112, FNR: 0.0
mod_value: 1.7, TT: 0, h: 1.5, FP: 144, FN: 0, FPR: 0.08, FNR: 0.0
mod_value: 1.7, TT: 0, h: 2.0, FP: 96, FN: 0, FPR: 0.05333333333333334, FNR: 0.0
mod_value: 1.7, TT: 0, h: 2.5, FP: 59, FN: 0, FPR: 0.03277777777777778, FNR: 0.0
mod_value: 1.7, TT: 0, h: 3.0, FP: 47, FN: 0, FPR: 0.026111111111111113, FNR: 0.0
mod_value: 1.7, TT: 0, h: 3.5, FP: 30, FN: 0, FPR: 0.016666666666666666, FNR: 0.0
mod_value: 1.7, TT: 0, h: 4.0, FP: 21, FN: 0, FPR: 0.011666666666666667, FNR: 0.0
mod_value: 1.7, TT: 0, h: 4.5, FP: 18, FN: 0, FPR: 0.01, FNR: 0.0
mod_value: 1.7, TT: 0, h: 5.0, FP: 16, FN: 0, FPR: 0.008888888888888889, FNR: 0.0
mod_value: 1.7, TT: 0, h: 5.5, FP: 12, FN: 0, FPR: 0.006666666666666667, FNR: 0.0
mod_value: 1.7, TT: 0, h: 6.0, FP: 10, FN: 1, FPR: 0.005555555555555556, FNR: 0.0005555555555555556
mod_value: 1.7, TT: 0, h: 6.5, FP: 8, FN: 3, FPR: 0.0044444444444444444, FNR: 0.0016666666666666668
mod_value: 1.7, TT: 0, h: 7.0, FP: 4, FN: 6, FPR: 0.0022222222222222222, FNR: 0.0033333333333333335
mod_value: 1.7, TT: 0, h: 7.5, FP: 3, FN: 16, FPR: 0.0016666666666666668, FNR: 0.008888888888888889
mod_value: 1.7, TT: 0, h: 8.0, FP: 1, FN: 35, FPR: 0.0005555555555555556, FNR: 0.019444444444444445


mod_value: 1.8, TT: 0, h: 1.0, FP: 398, FN: 0, FPR: 0.22111111111111112, FNR: 0.0
mod_value: 1.8, TT: 0, h: 1.5, FP: 144, FN: 0, FPR: 0.08, FNR: 0.0
mod_value: 1.8, TT: 0, h: 2.0, FP: 96, FN: 0, FPR: 0.05333333333333334, FNR: 0.0
mod_value: 1.8, TT: 0, h: 2.5, FP: 59, FN: 0, FPR: 0.03277777777777778, FNR: 0.0
mod_value: 1.8, TT: 0, h: 3.0, FP: 47, FN: 0, FPR: 0.026111111111111113, FNR: 0.0
mod_value: 1.8, TT: 0, h: 3.5, FP: 30, FN: 0, FPR: 0.016666666666666666, FNR: 0.0
mod_value: 1.8, TT: 0, h: 4.0, FP: 21, FN: 0, FPR: 0.011666666666666667, FNR: 0.0
mod_value: 1.8, TT: 0, h: 4.5, FP: 18, FN: 0, FPR: 0.01, FNR: 0.0
